Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
 20:34:58.517, -0.088, 0.004, -1.000, -0.244, -0.183, -0.122, 179.352, 5.372, -41.149, -25.975, -30.158, 11.783,
 20:34:58.611, -0.089, 0.002, -1.000, -0.427, -0.122, -0.183, 179.352, 5.367, -41.138, -25.958, -30.242, 11.933,
 20:34:58.718, -0.088, 0.002, -1.000, -0.183, -0.305, -0.061, 179.357, 5.372, -41.122, -25.992, -30.233, 11.683,
 20:34:58.811, -0.087, 0.002, -1.000, -0.244, -0.183, 0.000, 179.357, 5.372, -41.116, -26.017, -30.375, 11.975,
 20:34:58.904, -0.089, 0.003, -1.001, -0.244, -0.122, 0.000, 179.357, 5.367, -41.116, -26.058, -30.350, 12.025,
 20:34:59.012, -0.089, 0.002, -1.000, -0.244, -0.122, -0.183, 179.357, 5.372, -41.105, -25.942, -30.183, 12.050,
 20:34:59.104, -0.084, 0.002, -1.000, -0.244, -0.122, -0.122, 179.357, 5.378, -41.094, -25.917, -30.242, 11.858,
 20:34:59.215, -0.090, 0.001, -1.001, -0.244, -0.122, -0.122, 179.363, 5.383, -41.078, -26.050, -30.308, 11.733,
 20:34:59.310, -0.083, 0.004, -1.000, -0.366, -0.061, 0.000, 179.357, 5.372, -41.072, -25.958, -30.067, 12.208,
 20:34:59.404, -0.093, 0.000, -1.000, -0.244, -0.061, 0.244, 179.346, 5.367, -41.072, -26.042, -29.858, 12.350,
 20:34:59.514, -0.085, 0.004, -0.999, -0.427, 0.366, -0.244, 179.346, 5.367, -41.083, -25.925, -29.867, 12.358,
 20:34:59.607, -0.092, 0.000, -0.999, -0.244, -0.427, -0.122, 179.335, 5.350, -41.067, -26.100, -29.775, 12.242,
 20:34:59.702, -0.083, 0.002, -0.997, -0.305, -0.305, -0.305, 179.352, 5.378, -41.050, -25.992, -29.892, 12.275,
 20:34:59.810, -0.091, 0.000, -1.001, -0.488, 0.061, -0.061, 179.335, 5.350, -41.028, -26.075, -29.875, 12.183,
 20:34:59.905, -0.086, 0.004, -1.000, -0.305, -0.061, -0.488, 179.319, 5.339, -41.012, -25.967, -29.817, 12.167,
 20:34:59.999, -0.090, 0.003, -1.000, -0.183, -0.549, -0.244, 179.324, 5.339, -40.990, -26.000, -30.075, 12.108,
 20:35:00.108, -0.085, 0.003, -0.999, -0.305, -0.183, -0.366, 179.330, 5.350, -40.974, -26.033, -29.983, 12.208,
 20:35:00.201, -0.093, 0.003, -1.000, -0.549, 0.183, -0.061, 179.308, 5.323, -40.957, -25.900, -30.000, 12.125,
 20:35:00.311, -0.084, 0.007, -0.998, -0.244, -0.366, -0.366, 179.308, 5.328, -40.946, -25.950, -30.108, 12.000,
 20:35:00.404, -0.090, 0.000, -1.000, -0.549, -0.122, -1.465, 179.297, 5.323, -40.864, -25.958, -29.983, 12.242,
 20:35:00.498, -0.087, 0.007, -1.000, -0.427, 0.000, -0.122, 179.269, 5.290, -40.891, -26.067, -30.117, 12.333,
 20:35:00.607, -0.086, 0.005, -1.000, -0.427, -0.061, -0.244, 179.253, 5.273, -40.941, -26.067, -30.125, 11.900,
 20:35:00.699, -0.087, 0.005, -1.000, -0.366, -0.122, 0.000, 179.253, 5.273, -40.984, -26.167, -30.150, 11.725,
 20:35:00.809, -0.083, 0.004, -1.001, -0.366, -0.122, -0.183, 179.247, 5.268, -41.039, -26.092, -30.092, 12.158,
 20:35:00.903, -0.089, 0.005, -1.003, -0.122, 0.000, -0.061, 179.247, 5.262, -41.083, -25.950, -30.083, 12.142,
 20:35:01.011, -0.086, 0.005, -1.000, -0.305, -0.061, -0.183, 179.231, 5.229, -41.116, -26.092, -30.200, 11.917,
 20:35:01.104, -0.088, 0.002, -1.000, -0.366, -0.244, -0.183, 179.231, 5.235, -41.144, -26.058, -30.158, 11.917,
 20:35:01.197, -0.083, 0.006, -1.000, -0.671, 0.488, -0.122, 179.225, 5.219, -41.171, -26.125, -30.167, 11.550,
 20:35:01.305, -0.083, 0.004, -1.000, -0.732, 0.183, -0.061, 179.182, 5.147, -41.204, -25.967, -30.050, 12.042,
 20:35:01.399, -0.081, 0.007, -1.001, -0.793, 0.610, -0.122, 179.121, 5.054, -41.237, -26.117, -30.133, 12.108,
 20:35:01.493, -0.082, 0.006, -1.000, -1.038, 0.671, -0.549, 179.055, 4.971, -41.232, -26.100, -30.133, 12.142,
 20:35:01.602, -0.080, 0.008, -0.996, -0.305, -0.610, -0.305, 179.028, 4.938, -41.226, -26.158, -30.175, 12.208,
 20:35:01.696, -0.081, 0.008, -1.000, -0.183, -0.671, -0.549, 179.000, 4.900, -41.226, -26.275, -30.300, 11.975,
