Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
9:51:26.259,0.076,-0.118,-0.992,0.000,-0.061,0.000,-173.282,-4.230,-134.555,-22.925,22.600,5.675,
9:51:26.354,0.077,-0.117,-0.992,0.000,0.061,0.000,-173.282,-4.230,-134.561,-22.808,22.583,5.708,
9:51:26.465,0.078,-0.006,-0.979,-27.222,-32.959,19.836,-173.639,-3.735,-134.681,-22.800,22.517,5.733,
9:51:26.561,-0.055,-0.115,-0.976,-2.014,-3.662,0.366,-174.139,-3.571,-135.797,-21.800,22.700,6.658,
9:51:26.656,0.084,-0.005,-1.018,-9.888,-19.897,2.747,-175.974,-0.022,-136.307,-20.575,22.558,8.208,
9:51:26.752,-0.079,-0.117,-0.930,-19.165,-33.142,9.766,-175.814,-0.884,-137.670,-19.558,22.400,8.717,
9:51:26.863,-0.154,-0.017,-1.005,-15.869,-29.968,19.531,-178.281,4.043,-138.944,-17.600,21.942,11.033,
9:51:26.959,-0.080,-0.013,-0.997,-3.662,0.671,13.550,-179.143,5.158,-141.053,-15.150,21.750,12.558,
9:51:27.055,-0.113,0.008,-0.997,-16.296,-15.137,14.282,179.418,5.850,-144.421,-13.075,22.025,13.267,
9:51:27.164,-0.136,0.051,-0.993,-8.728,-9.827,14.587,178.215,6.680,-146.920,-11.133,22.075,14.308,
9:51:27.259,-0.148,0.056,-0.989,2.991,-3.601,39.307,177.665,7.196,-150.969,-8.833,22.125,15.017,
9:51:27.355,-0.151,0.076,-0.982,-3.601,-2.258,1.648,176.660,8.058,-153.347,-6.275,22.433,15.375,
9:51:27.450,-0.151,0.012,-0.981,0.610,-1.587,10.559,176.501,7.872,-154.303,-5.542,22.317,15.533,
9:51:27.561,-0.145,0.064,-0.984,0.061,-1.160,-1.221,176.616,8.031,-155.435,-4.867,22.450,15.317,
9:51:27.656,-0.150,0.058,-0.989,3.479,2.258,9.521,176.616,8.053,-156.028,-4.642,22.533,15.233,
9:51:27.751,-0.147,0.069,-0.984,-0.671,-0.977,-0.977,176.633,8.075,-156.764,-4.450,22.642,15.242,
9:51:27.862,-0.160,0.065,-0.982,-2.502,-4.822,2.747,176.407,8.405,-157.247,-4.458,22.700,15.292,
9:51:27.958,-0.125,0.065,-0.984,0.122,0.122,1.770,176.490,8.438,-158.258,-4.075,22.708,15.342,
9:51:28.052,-0.152,0.063,-0.985,-0.427,2.258,-3.845,176.490,8.322,-158.599,-3.767,22.750,15.250,
9:51:28.148,-0.149,0.063,-0.984,-1.160,-2.075,1.465,176.495,8.366,-158.774,-4.125,22.725,15.067,
9:51:28.259,-0.167,0.064,-0.988,-0.977,4.150,-0.916,176.347,8.267,-158.478,-4.408,22.658,15.175,
9:51:28.355,-0.141,0.058,-0.984,2.625,3.235,9.766,176.265,7.861,-159.401,-4.625,22.708,15.150,
9:51:28.450,-0.131,0.060,-0.993,1.953,1.038,5.371,176.353,7.712,-160.433,-4.392,23.017,15.183,
9:51:28.546,-0.118,0.068,-0.983,2.014,4.883,9.766,176.287,7.690,-161.169,-3.992,23.042,15.050,
9:51:28.657,-0.135,0.071,-0.992,-8.728,10.254,-2.258,175.710,6.982,-161.554,-3.908,23.042,15.333,
9:51:28.753,-0.112,0.060,-0.992,1.770,1.770,21.118,175.518,6.130,-162.576,-4.183,22.950,15.567,
9:51:28.848,-0.102,0.092,-0.995,-1.648,3.906,-2.136,175.265,5.696,-162.559,-4.258,22.950,15.375,
9:51:28.943,-0.121,0.080,-0.998,2.319,-4.578,9.644,175.243,5.856,-162.839,-4.442,22.850,15.475,
9:51:29.054,-0.141,0.079,-0.988,-2.014,-7.813,6.531,175.133,6.504,-163.801,-3.983,22.833,15.367,
9:51:29.149,-0.125,0.096,-0.983,-1.099,-7.202,3.540,174.820,7.130,-164.432,-3.342,22.800,15.167,
9:51:29.244,-0.101,0.063,-0.986,2.502,-3.723,-4.395,174.957,7.729,-165.020,-2.633,22.783,15.300,
9:51:29.355,-0.116,0.084,-0.991,2.014,6.348,0.244,175.034,7.421,-165.086,-2.742,23.017,15.442,
9:51:29.451,-0.190,0.084,-0.990,2.869,-4.944,3.906,175.188,7.548,-165.520,-2.867,23.050,15.092,
9:51:29.547,-0.110,0.070,-0.978,1.831,-1.526,2.747,175.347,7.888,-166.069,-2.450,23.242,14.800,
9:51:29.642,-0.095,0.076,-0.990,2.136,1.770,1.526,175.446,7.976,-166.613,-2.042,23.492,14.608,
9:51:29.753,-0.162,0.085,-0.992,4.272,1.282,3.540,175.594,7.976,-167.151,-1.900,23.658,14.383,
9:51:29.849,-0.073,0.065,-0.983,-0.305,-1.831,0.061,175.682,7.921,-167.629,-1.725,23.900,14.242,
9:51:29.945,-0.167,0.060,-1.002,4.150,2.563,6.958,175.814,7.905,-168.041,-1.642,23.950,14.008,
9:51:30.040,-0.141,0.074,-0.990,-2.747,-4.883,-4.944,175.869,8.047,-168.239,-1.583,24.108,13.575,
9:51:30.151,-0.196,0.061,-0.983,-1.282,1.221,-7.324,175.930,8.053,-167.728,-1.833,24.283,13.533,
9:51:30.247,-0.095,0.082,-0.982,-5.859,-1.038,-4.456,175.754,7.971,-167.399,-2.375,24.133,13.650,
9:51:30.342,-0.175,0.085,-0.996,3.113,1.343,8.362,175.501,7.965,-167.948,-2.517,24.117,13.800,
9:51:30.437,-0.113,0.063,-0.987,3.052,0.916,7.080,175.814,7.751,-168.926,-2.183,24.258,13.575,
9:51:30.548,-0.186,0.053,-0.988,5.249,6.775,1.160,175.995,7.542,-169.689,-1.742,24.567,13.108,
9:51:30.642,-0.150,0.064,-0.978,-4.089,-3.662,-2.380,176.083,7.460,-169.937,-1.783,24.725,13.000,
9:51:30.738,-0.153,0.060,-0.989,-2.136,-0.488,2.258,176.034,7.180,-170.244,-1.750,24.750,12.833,
9:51:30.848,-0.080,0.067,-0.981,-3.174,-4.272,-5.432,175.875,7.476,-170.272,-1.800,24.800,12.875,
9:51:30.943,-0.207,0.054,-1.012,2.075,-8.606,5.432,175.941,7.196,-170.387,-2.067,24.842,12.867,
9:51:31.037,-0.125,0.076,-0.986,-9.521,-3.296,-7.751,176.402,6.295,-169.794,-2.350,25.208,12.583,
9:51:31.132,-0.140,0.065,-0.994,-3.845,-0.732,0.488,175.902,6.603,-169.942,-2.992,25.258,12.367,
9:51:31.243,-0.077,0.065,-1.003,-3.601,-4.456,5.005,175.616,6.724,-170.200,-2.758,25.350,12.533,
9:51:31.339,-0.156,0.069,-1.005,-0.671,-6.714,10.010,175.325,7.053,-170.771,-2.433,25.450,12.808,
9:51:31.435,-0.130,0.062,-0.992,-6.104,-11.292,10.254,175.715,7.031,-171.552,-2.108,25.692,12.208,
9:51:31.530,-0.183,0.060,-0.993,0.671,-2.686,4.395,175.737,7.163,-172.370,-1.575,26.117,12.142,
9:51:31.642,-0.104,0.073,-0.976,-4.028,-2.136,-1.160,175.622,7.273,-172.919,-0.942,26.408,11.808,
9:51:31.738,-0.234,0.055,-1.012,8.484,-20.020,19.043,175.468,8.086,-174.095,-0.308,26.542,11.842,
9:51:31.834,-0.221,0.076,-0.968,-3.479,-4.517,1.831,175.551,10.470,-176.006,2.500,27.558,11.267,
9:51:31.928,-0.190,0.064,-0.977,-0.732,-3.723,0.610,175.534,10.437,-176.545,3.267,27.883,10.992,
9:51:32.039,-0.185,0.068,-0.981,-2.075,-0.977,-0.854,175.523,10.481,-177.111,3.358,27.967,10.883,
9:51:32.136,-0.129,0.068,-0.984,-1.587,-2.441,0.244,175.545,10.563,-177.407,3.458,28.175,10.825,
9:51:32.230,-0.227,0.062,-0.994,0.305,3.296,0.916,175.237,10.695,-177.924,3.517,28.167,10.783,
9:51:32.340,-0.227,0.074,-0.971,-3.723,-3.418,0.793,175.078,10.811,-178.281,3.400,28.425,10.725,
9:51:32.436,-0.156,0.074,-0.972,-1.282,-2.686,3.174,174.864,10.882,-179.061,3.750,28.450,10.975,
9:51:32.532,-0.183,0.080,-0.992,2.686,0.488,6.409,174.787,10.953,-179.907,3.900,28.667,10.867,
9:51:32.627,-0.167,0.078,-0.982,1.953,0.061,4.456,174.776,10.981,179.341,4.225,28.875,11.033,
9:51:32.738,-0.188,0.078,-0.988,2.869,-1.465,4.700,175.034,11.041,178.759,4.525,29.092,10.667,
9:51:32.833,-0.225,0.049,-0.979,3.723,-6.592,7.813,175.512,11.277,177.830,4.867,29.558,10.250,
9:51:32.929,-0.230,0.047,-0.966,0.427,-5.066,15.686,177.061,11.514,176.600,5.542,30.725,9.000,
9:51:33.023,-0.195,0.032,-0.970,0.916,-9.155,0.977,177.188,12.074,175.540,6.442,31.117,8.492,
9:51:33.134,-0.199,0.037,-0.981,9.460,-1.160,8.057,177.841,12.530,174.957,7.250,31.383,7.967,
9:51:33.228,-0.255,0.052,-0.980,8.789,-1.038,17.151,177.704,12.761,173.820,7.817,31.742,7.525,
9:51:33.324,-0.256,0.028,-0.983,-1.770,-4.272,2.197,177.704,13.046,171.672,9.150,31.875,7.092,
9:51:33.434,-0.227,0.038,-0.954,-0.061,-4.028,7.080,177.605,13.315,171.068,10.017,31.892,6.925,
9:51:33.530,-0.151,0.176,-1.108,-58.777,41.870,34.607,174.271,12.349,167.514,11.633,31.525,7.558,
9:51:33.626,-0.214,0.090,-0.991,52.795,-16.235,31.250,174.128,11.717,163.515,14.450,30.083,10.433,
9:51:33.722,-0.201,0.031,-0.979,7.385,2.930,1.648,175.930,11.481,162.070,16.608,30.800,9.258,
9:51:33.833,-0.241,0.033,-0.979,-2.869,-1.587,-0.671,175.886,11.503,161.988,17.150,31.017,8.608,
9:51:33.929,-0.214,0.002,-0.963,7.080,-1.770,-1.770,175.869,11.629,161.428,17.117,30.892,8.950,
9:51:34.025,-0.189,0.070,-0.979,5.676,0.610,-2.380,176.259,11.865,161.186,17.217,31.017,8.892,
9:51:34.121,-0.177,0.055,-0.966,5.127,2.930,2.136,176.572,11.722,160.681,17.300,31.208,8.533,
9:51:34.232,-0.196,0.085,-0.979,1.648,1.282,6.531,176.770,11.464,160.252,17.317,31.425,8.567,
9:51:34.328,-0.189,0.017,-0.977,2.258,-1.526,11.658,176.682,11.332,158.654,18.050,31.233,8.392,
9:51:34.424,-0.198,0.063,-0.981,0.183,-1.526,0.916,176.902,11.272,157.440,19.175,31.250,8.417,
9:51:34.520,-0.207,0.067,-0.986,0.000,-0.366,8.545,176.885,11.349,156.297,19.992,30.942,8.583,
9:51:34.631,-0.206,0.041,-0.980,-0.366,-2.502,7.324,176.781,11.525,155.127,21.067,30.858,8.433,
9:51:34.727,-0.202,0.069,-0.985,2.014,-1.343,12.817,176.655,11.607,153.534,22.167,30.267,8.442,
9:51:34.823,-0.196,0.024,-0.982,4.700,-1.404,14.954,176.781,11.689,151.765,23.292,29.933,8.450,
9:51:34.918,-0.199,0.062,-0.982,2.319,0.305,4.089,177.001,11.656,150.480,24.500,29.675,8.175,
9:51:35.029,-0.194,0.036,-0.981,3.906,0.854,4.517,177.226,11.596,149.293,25.242,29.500,8.133,
9:51:35.122,-0.201,0.071,-0.983,0.183,1.221,3.174,177.374,11.695,147.920,26.250,29.167,7.850,
9:51:35.218,-0.204,0.055,-0.982,0.854,0.366,7.324,177.605,11.585,146.970,26.792,28.908,7.900,
9:51:35.328,-0.201,0.009,-0.980,3.174,2.686,9.521,177.621,11.464,145.739,27.392,28.775,7.908,
9:51:35.424,-0.205,0.043,-0.975,0.793,0.305,9.399,177.687,11.376,144.514,28.167,28.567,7.808,
